xVal,yVal
0,231
1,231
2,231
3,232
4,232
5,232
6,232
7,232
8,233
9,233
10,233
11,233
12,233
13,233
14,233
15,233
16,233
17,233
18,233
19,233
20,232
21,232
22,232
23,232
24,232
25,231
26,231
27,231
28,230
29,230
30,229
31,229
32,228
33,228
34,227
35,227
36,226
37,226
38,225
39,224
40,223
41,223
42,222
43,222
44,221
45,220
46,219
47,218
48,217
49,216
50,215
51,214
52,213
53,212
54,212
55,211
56,210
57,209
58,208
59,206
60,205
61,204
62,203
63,202
64,200
65,200
66,199
67,198
68,196
69,195
70,194
71,193
72,192
73,190
74,189
75,188
76,186
77,186
78,184
79,183
80,182
81,180
82,179
83,178
84,177
85,176
86,174
87,174
88,172
89,171
90,170
91,168
92,167
93,166
94,165
95,164
96,162
97,161
98,160
99,160
100,158
101,157
102,156
103,155
104,154
105,152
106,152
107,150
108,149
109,149
110,148
111,147
112,146
113,145
114,144
115,143
116,142
117,141
118,140
119,140
120,139
121,138
122,137
123,136
124,136
125,135
126,134
127,133
128,133
129,132
130,132
131,131
132,131
133,130
134,130
135,129
136,128
137,128
138,128
139,127
140,127
141,126
142,126
143,126
144,126
145,126
146,125
147,125
148,125
149,124
150,124
151,124
152,124
153,124
154,124
155,124
156,124
157,124
158,124
159,124
160,124
161,124
162,124
163,125
164,125
165,125
166,126
167,126
168,126
169,126
170,126
171,127
172,127
173,128
174,128
175,128
176,129
177,129
178,130
179,130
180,131
181,132
182,132
183,133
184,133
185,134
186,134
187,135
188,136
189,137
190,137
191,138
192,139
193,140
194,141
195,141
196,142
197,143
198,144
199,144
200,145
201,146
202,147
203,147
204,148
205,149
206,149
207,150
208,150
209,151
210,151
211,152
212,152
213,153
214,154
215,154
216,154
217,155
218,155
219,156
220,156
221,156
222,157
223,157
224,157
225,158
226,158
227,158
228,158
229,159
230,159
231,159
232,159
233,160
234,160
235,160
236,160
237,160
238,160
239,160
240,160
241,161
242,161
243,161
244,161
245,161
246,162
247,162
248,162
249,162
250,162
251,162
252,162
253,162
254,162
255,162
256,162
257,162
258,162
259,161
260,161
261,161
262,161
263,161
264,161
265,161
266,160
267,160
268,160
269,160
270,160
271,160
272,160
273,160
274,159
275,159
276,159
277,159
278,159
279,159
280,158
281,158
282,158
283,158
284,158
285,158
286,157
287,157
288,157
289,156
290,156
291,156
292,156
293,155
294,155
295,155
296,155
297,154
298,154
299,154
300,154
301,153
302,153
303,152
304,152
305,152
306,152
307,151
308,151
309,151
310,150
311,150
312,150
313,149
314,149
315,148
316,148
317,148
318,147
319,147
320,147
321,146
322,146
323,146
324,145
325,145
326,144
327,144
328,144
329,143
330,143
331,142
332,142
333,142
334,141
335,141
336,140
337,140
338,140
339,139
340,139
341,138
342,138
343,138
344,137
345,136
346,136
347,136
348,135
349,135
350,134
351,134
352,133
353,133
354,132
355,132
356,131
357,131
358,130
359,130
360,130
361,129
362,129
363,128
364,128
365,127
366,127
367,126
368,126
369,125
370,125
371,124
372,124
373,123
374,123
375,122
376,122
377,121
378,121
379,120
380,120
381,120
382,119
383,119
384,118
385,118
386,117
387,117
388,116
389,116
390,115
391,115
392,114
393,114
394,113
395,113
396,112
397,112
398,111
399,111
400,110
401,110
402,110
403,109
404,108
405,108
406,108
407,107
408,107
409,106
410,106
411,105
412,104
413,104
414,104
415,103
416,103
417,102
418,102
419,101
420,101
421,100
422,100
423,99
424,99
425,98
426,98
427,98
428,97
429,96
430,96
431,96
432,95
433,95
434,94
435,94
436,94
437,93
438,93
439,92
440,92
441,91
442,91
443,90
444,90
445,90
446,90
447,89
448,89
449,88
450,88
451,88
452,87
453,87
454,86
455,86
456,86
457,85
458,85
459,84
460,84
461,84
462,84
463,83
464,83
465,83
466,82
467,82
468,82
469,82
470,82
471,81
472,81
473,80
474,80
475,80
476,80
477,80
478,80
479,80
480,79
481,79
482,79
483,79
484,79
485,79
486,79
487,78
488,78
489,78
490,78
491,78
492,78
493,79
494,79
495,79
496,79
497,79
498,80
499,80
500,80
501,81
502,81
503,82
504,82
505,83
506,84
507,84
508,85
509,86
510,86
511,87
512,88
513,89
514,90
515,92
516,93
517,94
518,95
519,97
520,98
521,100
522,100
523,102
524,104
525,105
526,107
527,109
528,110
529,113
530,114
531,117
532,118
533,120
534,122
535,124
536,127
537,130
538,131
539,134
540,136
541,139
542,142
543,144
544,146
545,149
546,152
547,155
548,158
549,161
550,164
551,167
552,171
553,174
554,176
555,179
556,182
557,185
558,189
559,192
560,196
561,200
562,203
563,206
564,210
565,212
566,216
567,219
568,223
569,226
570,230
571,234
572,238
573,241
574,245
575,249
576,251
577,254
578,258
579,261
580,265
581,269
582,273
583,276
584,280
585,283
586,286
587,289
588,292
589,296
590,299
591,303
592,306
593,309
594,312
595,315
596,319
597,321
598,323
599,327
600,329
601,333
602,335
603,338
604,341
605,344
606,347
607,349
608,351
609,353
610,355
611,357
612,360
613,362
614,365
615,367
616,369
617,371
618,373
619,375
620,375
621,378
622,379
623,381
624,382
625,384
626,386
627,387
628,389
629,390
630,391
631,392
632,393
633,394
634,395
635,397
636,398
637,398
