xVal,yVal
0,32
1,28
2,24
3,22
4,19
5,17
6,15
7,13
8,12
9,11
10,10
11,9
12,9
13,9
14,9
15,9
16,9
17,10
18,11
19,12
20,13
21,13
22,14
23,14
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,14
32,14
33,14
34,13
35,13
36,12
37,12
38,12
39,12
40,13
41,14
42,15
43,18
44,21
45,25
46,29
47,32
48,34
49,35
50,36
51,35
52,34
53,33
54,32
55,31
56,29
57,28
58,26
59,25
60,24
61,22
62,21
63,20
64,18
65,17
66,16
67,15
68,14
69,13
70,12
71,11
72,11
73,10
74,9
75,8
76,8
77,7
78,6
79,6
80,5
81,5
82,4
83,4
84,3
85,3
86,3
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
