xVal,yVal
0,44
1,44
2,45
3,44
4,44
5,44
6,43
7,42
8,41
9,39
10,38
11,37
12,35
13,33
14,32
15,30
16,29
17,27
18,26
19,25
20,23
21,22
22,21
23,20
24,20
25,19
26,19
27,18
28,18
29,18
30,18
31,19
32,19
33,20
34,20
35,21
36,22
37,23
38,24
39,25
40,26
41,27
42,27
43,28
44,29
45,29
46,30
47,30
48,30
49,31
50,31
51,31
52,31
53,30
54,29
55,28
56,27
57,25
58,23
59,21
60,20
61,18
62,17
63,16
64,15
65,14
66,13
67,12
68,11
69,10
70,9
71,9
72,8
73,8
74,7
75,7
76,6
77,6
78,5
79,5
80,4
81,4
82,4
83,3
84,3
85,3
86,2
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
