xVal,yVal
0,68
1,69
2,69
3,69
4,68
5,65
6,61
7,56
8,52
9,48
10,45
11,43
12,40
13,39
14,38
15,37
16,36
17,36
18,35
19,35
20,34
21,34
22,34
23,33
24,32
25,30
26,27
27,24
28,21
29,17
30,14
31,12
32,10
33,9
34,8
35,8
36,8
37,8
38,9
39,9
40,10
41,11
42,11
43,12
44,13
45,13
46,14
47,14
48,15
49,15
50,15
51,15
52,14
53,13
54,12
55,11
56,11
57,10
58,10
59,9
60,9
61,8
62,8
63,7
64,7
65,6
66,5
67,4
68,3
69,3
70,3
71,2
72,2
73,2
74,2
75,2
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
