xVal,yVal
0,24
1,24
2,24
3,24
4,24
5,24
6,23
7,23
8,22
9,21
10,20
11,20
12,19
13,18
14,17
15,16
16,15
17,14
18,14
19,13
20,12
21,12
22,11
23,11
24,10
25,10
26,10
27,10
28,11
29,11
30,12
31,14
32,16
33,18
34,20
35,22
36,23
37,24
38,26
39,27
40,27
41,28
42,28
43,28
44,28
45,28
46,28
47,28
48,27
49,27
50,27
51,27
52,27
53,27
54,28
55,28
56,29
57,29
58,30
59,31
60,31
61,32
62,33
63,34
64,35
65,36
66,37
67,38
68,38
69,38
70,38
71,37
72,36
73,34
74,31
75,28
76,26
77,23
78,20
79,18
80,16
81,14
82,12
83,11
84,9
85,8
86,7
87,6
88,5
89,4
90,3
91,3
92,2
93,2
94,1
95,1
96,1
97,0
98,0
99,0
