xVal,yVal
0,678
1,678
2,679
3,680
4,680
5,681
6,682
7,682
8,683
9,683
10,684
11,684
12,685
13,685
14,686
15,686
16,687
17,687
18,688
19,688
20,688
21,688
22,689
23,689
24,689
25,689
26,689
27,690
28,690
29,689
30,689
31,689
32,689
33,689
34,688
35,688
36,687
37,687
38,686
39,685
40,684
41,683
42,681
43,680
44,679
45,678
46,675
47,673
48,670
49,667
50,664
51,662
52,659
53,656
54,653
55,650
56,647
57,643
58,640
59,636
60,631
61,627
62,622
63,618
64,613
65,609
66,605
67,600
68,595
69,590
70,584
71,579
72,574
73,569
74,564
75,558
76,554
77,551
78,546
79,541
80,536
81,532
82,527
83,523
84,519
85,514
86,511
87,509
88,505
89,500
90,497
91,493
92,489
93,486
94,482
95,479
96,475
97,473
98,470
99,467
100,464
101,460
102,457
103,454
104,451
105,449
106,446
107,443
108,441
109,439
110,436
111,433
112,431
113,428
114,425
115,423
116,421
117,419
118,417
119,415
120,413
121,411
122,409
123,407
124,405
125,403
126,402
127,400
128,398
129,397
130,395
131,394
132,393
133,391
134,390
135,388
136,387
137,385
138,385
139,383
140,382
141,381
142,380
143,379
144,378
145,377
146,376
147,375
148,374
149,373
150,372
151,371
152,371
153,370
154,369
155,368
156,367
157,366
158,366
159,365
160,364
161,364
162,363
163,363
164,362
165,361
166,361
167,360
168,360
169,359
170,359
171,358
172,357
173,357
174,357
175,356
176,356
177,355
178,355
179,355
180,354
181,354
182,353
183,353
184,352
185,352
186,352
187,351
188,351
189,351
190,350
191,349
192,349
193,349
194,348
195,348
196,348
197,347
198,347
199,347
200,346
201,346
202,345
203,345
204,344
205,344
206,344
207,343
208,343
209,343
210,342
211,342
212,341
213,341
214,340
215,340
216,339
217,339
218,339
219,338
220,337
221,337
222,336
223,336
224,335
225,335
226,334
227,334
228,333
229,333
230,332
231,331
232,330
233,330
234,329
235,328
236,327
237,326
238,325
239,323
240,323
241,322
242,320
243,319
244,318
245,316
246,314
247,313
248,311
249,310
250,309
251,307
252,305
253,303
254,301
255,299
256,296
257,294
258,292
259,289
260,287
261,285
262,283
263,280
264,277
265,274
266,271
267,269
268,265
269,263
270,259
271,257
272,254
273,251
274,247
275,244
276,240
277,237
278,233
279,229
280,226
281,222
282,219
283,216
284,212
285,208
286,204
287,200
288,197
289,193
290,189
291,185
292,181
293,178
294,175
295,172
296,168
297,164
298,161
299,157
300,154
301,151
302,147
303,144
304,142
305,140
306,137
307,134
308,131
309,128
310,126
311,123
312,121
313,119
314,116
315,115
316,113
317,112
318,109
319,108
320,106
321,104
322,103
323,101
324,100
325,98
326,97
327,96
328,95
329,94
330,93
331,92
332,92
333,91
334,90
335,89
336,89
337,88
338,88
339,87
340,87
341,86
342,86
343,85
344,85
345,84
346,84
347,84
348,84
349,83
350,83
351,83
352,83
353,82
354,82
355,82
356,82
357,82
358,82
359,82
360,82
361,82
362,82
363,82
364,82
365,82
366,82
367,82
368,82
369,82
370,83
371,83
372,83
373,83
374,84
375,84
376,84
377,84
378,85
379,85
380,86
381,86
382,86
383,87
384,87
385,87
386,88
387,88
388,89
389,89
390,90
391,90
392,91
393,91
394,92
395,92
396,93
397,93
398,94
399,95
400,95
401,96
402,96
403,97
404,98
405,98
406,99
407,100
408,100
409,101
410,102
411,103
412,103
413,104
414,105
415,105
416,106
417,107
418,108
419,108
420,109
421,110
422,111
423,112
424,112
425,113
426,113
427,114
428,115
429,116
430,117
431,117
432,118
433,119
434,120
435,120
436,121
437,122
438,123
439,123
440,124
441,125
442,126
443,126
444,127
445,128
446,128
447,129
448,130
449,130
450,131
451,132
452,133
453,133
454,134
455,135
456,135
457,136
458,136
459,137
460,138
461,138
462,139
463,139
464,140
465,140
466,141
467,142
468,142
469,142
470,143
471,143
472,144
473,144
474,145
475,145
476,146
477,146
478,146
479,146
480,147
481,147
482,147
483,148
484,148
485,148
486,148
487,148
488,149
489,149
490,149
491,150
492,150
493,150
494,150
495,150
496,150
497,150
498,150
499,150
500,150
501,150
502,150
503,150
504,149
505,149
506,148
507,148
508,148
509,148
510,148
511,147
512,147
513,146
514,146
515,145
516,145
517,144
518,144
519,143
520,142
521,142
522,141
523,141
524,140
525,139
526,138
527,137
528,137
529,136
530,135
531,134
532,134
533,133
534,132
535,131
536,130
537,129
538,128
539,127
540,126
541,125
542,125
543,124
544,123
545,122
546,121
547,121
548,120
549,119
550,118
551,117
552,116
553,115
554,114
555,114
556,113
557,112
558,111
559,110
560,110
561,109
562,108
563,107
564,107
565,106
566,106
567,105
568,104
569,104
570,103
571,102
572,102
573,101
574,100
575,100
576,100
577,99
578,98
579,98
580,97
581,97
582,96
583,96
584,95
585,95
586,95
587,94
588,94
589,94
590,93
591,92
592,92
593,92
594,91
595,91
596,90
597,90
598,90
599,89
600,89
601,88
602,88
603,87
604,87
605,87
606,86
607,86
608,86
609,85
610,85
611,84
612,84
613,83
614,83
615,83
616,82
617,82
618,81
619,81
620,80
621,80
622,80
623,79
624,79
625,78
626,78
627,77
628,77
629,76
630,76
631,75
632,75
633,74
634,74
635,73
636,73
637,72
638,72
639,71
640,70
641,70
642,69
643,68
644,68
645,67
646,66
647,65
648,65
649,64
650,63
651,62
652,61
653,61
654,60
655,59
656,58
657,57
658,56
659,55
660,54
661,53
662,52
663,52
664,51
665,50
666,49
667,48
668,47
669,46
670,45
671,44
672,43
673,43
674,42
675,41
676,41
677,40
678,39
679,38
680,37
681,37
682,36
683,35
684,34
685,34
686,33
687,33
688,32
689,32
690,31
691,31
692,30
693,30
694,29
695,29
696,28
697,28
698,28
699,28
700,27
701,27
702,27
703,26
704,26
705,26
706,26
707,26
708,25
709,25
710,24
711,24
712,24
713,24
714,24
715,24
716,24
717,24
718,23
719,23
720,23
721,23
722,23
723,23
724,23
725,22
726,22
727,22
728,22
729,22
730,22
731,22
732,22
733,22
734,22
735,21
736,21
737,20
738,20
739,20
740,20
741,20
742,20
743,20
744,19
745,19
746,19
747,19
748,18
749,18
750,18
751,18
752,18
753,18
754,18
755,17
756,17
757,17
758,16
759,16
760,16
761,16
762,16
763,15
764,15
765,15
766,15
767,14
768,14
769,14
770,14
771,14
772,14
773,13
774,13
775,13
776,12
777,12
778,12
779,12
780,12
781,12
782,12
783,11
784,11
785,11
786,11
787,11
788,11
789,10
790,10
791,10
792,10
793,10
794,10
795,10
796,10
797,10
798,10
799,10
800,10
801,10
802,10
803,10
804,10
805,10
806,10
807,10
808,10
809,10
810,10
811,10
812,10
813,11
814,11
815,11
816,11
817,11
818,11
819,11
820,12
821,11
822,12
823,12
824,12
825,12
826,12
827,13
828,13
829,13
830,14
831,14
832,14
833,14
834,14
835,14
836,14
837,15
838,15
839,15
840,15
841,15
842,16
843,16
844,16
845,16
846,16
847,16
848,16
849,16
850,16
851,17
852,17
853,17
854,17
855,17
856,18
857,18
858,18
859,18
860,18
861,18
862,18
863,18
864,18
865,18
866,18
867,18
868,18
869,18
870,18
871,18
872,18
873,18
874,18
875,18
876,18
877,18
878,18
879,18
880,18
881,18
882,18
883,18
884,17
885,17
886,17
887,17
888,17
889,16
890,16
891,16
892,16
893,16
894,16
895,16
896,16
897,16
898,15
899,15
900,15
901,15
902,15
903,14
904,14
905,14
906,14
907,14
908,14
909,14
910,13
911,13
912,13
913,12
914,12
915,12
916,12
917,12
918,12
919,12
920,11
921,11
922,11
923,10
924,10
925,10
926,10
927,10
928,9
929,9
930,8
931,8
932,8
933,8
934,8
935,7
936,7
937,7
938,6
939,6
940,6
941,6
942,6
943,5
944,5
945,5
946,5
947,5
948,5
949,5
950,4
951,4
952,4
953,4
954,4
955,3
956,3
957,3
958,3
959,3
960,3
961,3
962,3
963,3
964,2
965,2
966,2
967,2
968,2
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
