xVal,yVal
0,23
1,23
2,23
3,23
4,22
5,21
6,20
7,19
8,18
9,16
10,15
11,14
12,14
13,13
14,13
15,12
16,13
17,13
18,13
19,14
20,15
21,15
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,15
30,15
31,15
32,15
33,14
34,14
35,13
36,13
37,12
38,12
39,11
40,11
41,10
42,10
43,9
44,9
45,9
46,8
47,8
48,8
49,8
50,8
51,9
52,11
53,12
54,15
55,18
56,21
57,25
58,28
59,31
60,34
61,36
62,38
63,40
64,40
65,41
66,40
67,39
68,37
69,34
70,32
71,30
72,28
73,26
74,24
75,22
76,20
77,19
78,18
79,16
80,15
81,14
82,13
83,12
84,11
85,10
86,9
87,8
88,7
89,6
90,5
91,5
92,4
93,3
94,3
95,2
96,1
97,1
98,1
99,0
