"","id","yPos","xPos","race","lat","lon","ward","age","sex"
"1",849324,711,681,"Black",38.9256919745814,-77.0347776376886,"Ward 1","55-64","Male"
"2",435780,740,664,"Black",38.9230837803072,-77.0368362424789,"Ward 1","55-64","Female"
"3",828972,845,916,"Black",38.9135871487628,-77.005235586215,"Ward 5","35-54","Male"
"4",490810,1112,1562,"Black",38.8893611599783,-76.9243929939483,"Ward 7","55-64","Male"
"5",597394,1080,1315,"Black",38.8922421544624,-76.9553154841347,"Ward 7","55-64","Male"
"6",703227,647,1160,"Black",38.9315027958017,-76.9747379852665,"Ward 5","75 plus","Male"
"7",158661,1185,1152,"Black",38.8827484442951,-76.9757680550321,"Ward 6","35-54","Male"
"8",459192,1034,990,"Black",38.8964334474369,-76.9960514845243,"Ward 6","55-64","Male"
"9",964079,162,775,"Black",38.9753071406272,-77.022999107116,"Ward 4","18-34","Female"
"10",748112,818,903,"Black",38.9159550525198,-77.0069504959014,"Ward 5","75 plus","Male"
"11",888445,1117,1603,"Black",38.8889292772788,-76.919206762682,"Ward 7","55-64","Male"
"12",583286,1087,1602,"Black",38.891610853509,-76.9193972462926,"Ward 7","55-64","Male"
"13",498581,1302,1200,"Black",38.8721619833255,-76.969670862859,"Ward 7","75 plus","Male"
"14",458928,1359,1076,"Black",38.8670725653752,-76.9852631768924,"Ward 8","55-64","Male"
"15",756686,666,1088,"Black",38.9297741426553,-76.9837695073866,"Ward 5","75 plus","Male"
"16",925561,1425,1042,"Black",38.8611028335635,-76.9895714663874,"Ward 8","35-54","Male"
"17",678950,1192,869,"Black",38.8821573264773,-77.0112074826823,"Ward 6","65-74","Male"
"18",735242,494,882,"Black",38.9452969963531,-77.0095399083926,"Ward 5","35-54","Male"
"19",207091,1113,1599,"Black",38.8892649743824,-76.9197848507901,"Ward 7","65-74","Female"
"20",577168,939,1122,"Black",38.9050571544774,-76.9795452038127,"Ward 5","18-34","Male"
"21",662750,1664,1026,"Black",38.8394869638766,-76.9914769316197,"Ward 8","55-64","Male"
"22",147186,1493,1106,"Black",38.854929893362,-76.9814610480892,"Ward 8","75 plus","Male"
"23",757971,852,1043,"Black",38.9129352752743,-76.9894162885516,"Ward 5","18-34","Male"
"24",494088,458,850,"Black",38.9485356571032,-77.0135231051519,"Ward 4","55-64","Male"
"25",508079,1020,1617,"Black",38.8976951887386,-76.9175719341284,"Ward 7","55-64","Male"
"26",432338,585,628,"Black",38.9370462733975,-77.0414190283517,"Ward 4","75 plus","Male"
"27",266309,1261,842,"Black",38.8759431303035,-77.0146126123746,"Ward 6","75 plus","Male"
"28",813491,920,869,"Black",38.9067643258662,-77.011119948153,"Ward 6","35-54","Male"
"29",265648,829,936,"Black",38.9149957469197,-77.0028066682613,"Ward 5","65-74","Male"
"30",985878,766,809,"Black",38.920722420155,-77.0186935944972,"Ward 1","18-34","Male"
